location,iso_code,population,total_deaths_per_million,mortality_rate,health_expenditure_pct_gdp,hospital_beds_per_1000,life_expectancy_years
Tonga,TON,106867,114.23,0.073117231294175,8.13607597,2.48,72.895
Trinidad and Tobago,TTO,1531043,2859.11,2.3009220903583993,6.43106365,1.61,73.49
Tunisia,TUN,12356116,2415.89,2.5515979840990277,6.96380186,2.42,76.508
Turkey,TUR,85341248,1164.95,0.59641826775069,3.70338893,2.99,77.156
Turkmenistan,TKM,6430777,0.0,,5.37103748,4.03,70.073
Turks and Caicos Islands,TCA,45726,784.84,0.5556413026701652,,,78.008
Tuvalu,TUV,11335,0.0,0.0,18.38210106,,67.105
Uganda,UGA,47249588,76.72,2.1366766731414444,4.39089251,0.5,68.252
Ukraine,UKR,39701744,2637.08,2.0364107970463214,8.2027483,6.26,73.422
United Arab Emirates,ARE,9441138,229.25,0.22435643242695755,4.67550945,1.98,82.909
United Kingdom,GBR,67508936,3158.51,0.8913641715106443,10.872015,2.35,81.2380975609756
United States,USA,338289856,3162.13,1.0906700966445062,16.49613953,2.74,78.3853658536585
United States Virgin Islands,VIR,99479,1467.85,0.5350973287267212,,,80.519512195122
Uruguay,URY,3422796,2230.08,0.7472420621588398,8.94532204,2.48,78.138
Uzbekistan,UZB,34627648,29.08,0.6073213303684576,7.36325455,4.86,72.388
Vanuatu,VUT,326744,44.72,0.11654041455090318,4.14742947,,71.477
Venezuela,VEN,28301700,206.64,1.060300739846211,4.55047369,0.99,72.514
Vietnam,VNM,98186856,433.22,0.37472442777382764,4.58891582,2.55,74.588
Yemen,YEM,33696612,56.48,18.07450816241105,6.18666697,0.71,69.295
Zambia,ZMB,20017670,199.57,1.2039537097459783,5.25592279,2.0,66.349
Zimbabwe,ZWE,16320539,350.67,2.167774597605638,3.62880659,2.0,62.775
