location,iso_code,population,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,icu_patients_per_million,hosp_patients_per_million,mortality_rate
Bhutan,BTN,782457,62531.0,21.0,80073.51,26.89,,,,,0.03358334266203963
Bolivia,BOL,12224114,1146741.0,22280.0,94951.25,1844.8,,,,,1.9428973063664767
Bonaire Sint Eustatius and Saba,BES,27052,11716.0,39.0,408878.34,1361.07,,,,,0.3328781153977467
Bosnia and Herzegovina,BIH,3233530,400960.0,16222.0,125112.13,5061.77,,,,,4.045790103750998
Botswana,BWA,2630300,328031.0,2786.0,134444.72,1141.85,,,,,0.8493099737524807
Brazil,BRA,215313504,36124337.0,692743.0,171770.02,3293.97,223.09,81.22,,,1.9176628764148669
British Virgin Islands,VGB,31332,7305.0,64.0,190512.2,1669.1,,,,,0.8761122518822724
Brunei,BRN,449002,268615.0,148.0,589877.75,325.01,,,,,0.055097444297600655
Bulgaria,BGR,6781955,1280617.0,38036.0,187612.47,5572.34,,,,,2.970130804135819
Burkina Faso,BFA,22673764,22006.0,395.0,977.65,17.55,,,,,1.794965009542852
Burundi,BDI,12889583,52051.0,15.0,3907.41,1.13,,,,,0.028817890146202764
Cambodia,KHM,16767851,138495.0,3056.0,8051.23,177.66,,,,,2.206577854796202
Cameroon,CMR,27914542,123993.0,1965.0,4487.17,71.11,,,,,1.5847668820014034
Canada,CAN,38454328,4476385.0,48421.0,115307.56,1247.28,250.44,82.52,5.96,160.06,1.081698736815533
Cape Verde,CPV,593162,63190.0,412.0,121577.68,792.69,,,,,0.6520018990346573
Cayman Islands,CYM,68722,31472.0,37.0,439497.84,516.7,,,,,0.1175648195221149
Central African Republic,CAF,5579148,15360.0,113.0,3012.92,22.16,,,,,0.7356770833333334
Chad,TCD,17723312,7649.0,194.0,414.46,10.51,,,,,2.5362792521898285
Chile,CHL,19603736,5006159.0,63012.0,256029.81,3222.62,319.45,90.27,5.97,,1.2586895462169698
China,CHN,1425887360,62445650.0,38995.0,43815.99,27.36,243.92,,,,0.062446303305354334
Colombia,COL,51874028,6338339.0,142076.0,122508.52,2746.07,,,,,2.241533625765362
Comoros,COM,836783,8982.0,160.0,10767.31,191.8,,,,,1.781340458695168
Congo,COG,5970430,25063.0,386.0,4152.87,63.96,,,,,1.540118900371065
Cook Islands,COK,17032,6625.0,1.0,449243.9,67.81,,,,,0.01509433962264151
Costa Rica,CRI,5180836,1161687.0,9072.0,228599.12,1785.21,,,,,0.7809332462186458
Cote d'Ivoire,CIV,28160548,87933.0,830.0,2893.01,27.31,,,,,0.9439004696757758
Croatia,HRV,4030361,1261766.0,17515.0,322947.53,4482.94,132.84,55.84,,,1.38813377440825
Cuba,CUB,11212198,1111827.0,8530.0,100528.48,771.26,,,,,0.7672056893743362
Curacao,CUW,191173,45707.0,299.0,246596.98,1613.16,,,,,0.6541667578270287
Cyprus,CYP,896007,628509.0,1255.0,472074.75,942.63,,,,,0.19967892265663656
Czechia,CZE,10493990,4577526.0,42099.0,428879.72,3944.36,177.26,65.69,5.43,57.56,0.9196889324058454
Democratic Republic of Congo,COD,99010216,95070.0,1462.0,928.44,14.28,,,,,1.5378142421373724
Denmark,DNK,5882259,3381851.0,7712.0,572913.7,1306.48,,,3.74,,0.22804079777612912
Djibouti,DJI,1120851,15690.0,189.0,13798.26,166.21,,,,,1.2045889101338432
Dominica,DMA,72758,15760.0,74.0,235751.69,1106.96,,,,,0.46954314720812185
Dominican Republic,DOM,11228821,658587.0,4384.0,58641.49,390.36,,,,,0.665667557968803
East Timor,TLS,1341298,23388.0,138.0,17080.27,100.78,,,,,0.5900461775269369
Ecuador,ECU,18001002,1040463.0,35934.0,58374.6,2016.06,,,,,3.453654767156545
Egypt,EGY,110990096,515514.0,24802.0,4577.54,220.23,,,,,4.811120551527213
